SampleID,Observed_Age,Pred_RF
GSM1344176,44.7,46.349333333333384
GSM1344046,71.0,59.91066666666668
GSM1344941,54.0,51.42000000000007
GSM1343366,65.0,61.01066666666667
GSM1345238,46.6,49.112666666666705
GSM1345407,54.2,51.231666666666676
GSM1343913,46.7,48.983000000000004
GSM1345431,47.9,51.56366666666673
GSM1345041,50.3,46.52433333333331
GSM1343508,48.3,46.20033333333331
GSM1344996,62.4,56.200666666666685
GSM1345091,35.4,47.1626666666667
GSM1343777,54.7,46.34433333333332
GSM1344034,73.2,64.705
GSM1343197,37.5,48.48766666666666
GSM1344200,49.5,52.411666666666655
GSM1345452,47.0,48.44333333333333
GSM1345341,68.8,52.65699999999998
GSM1343704,54.1,51.29933333333337
GSM1343474,46.3,48.94466666666666
GSM1345262,55.8,53.273999999999994
GSM1345012,49.5,52.9646666666667
GSM1343904,35.6,40.2746666666667
GSM1344184,39.3,44.59633333333335
GSM1345026,49.3,46.63200000000005
GSM1343256,70.0,57.76933333333331
GSM1345060,43.8,44.48133333333339
GSM1343329,62.3,54.59733333333334
GSM1345287,64.7,54.00100000000006
GSM1344226,37.8,44.1216666666667
GSM1345433,48.9,49.44000000000001
GSM1344759,66.5,59.999999999999986
GSM1344337,40.8,57.43533333333337
GSM1343787,54.4,53.91800000000002
GSM1343635,67.5,62.80366666666672
GSM1345393,46.2,54.91466666666667
GSM1345556,65.6,58.46599999999995
GSM1344542,43.0,47.55833333333334
GSM1343995,55.1,53.11133333333338
GSM1343251,46.2,48.2836666666667
GSM1345388,39.5,43.18366666666669
GSM1343958,49.8,43.75266666666668
GSM1344017,45.1,44.90399999999999
GSM1343395,62.1,65.31100000000002
GSM1343811,36.1,39.66366666666667
GSM1344588,40.9,43.981666666666676
GSM1344990,48.1,50.93633333333333
GSM1343128,56.5,57.685666666666684
GSM1343737,70.4,59.03233333333331
GSM1343449,52.3,51.3226666666667
GSM1343607,49.1,44.42266666666669
GSM1343613,50.6,52.57633333333332
GSM1343864,45.2,51.57166666666668
